                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 2.1695,                 2.5732,                 1.8842,                 1.9994,                 3.0443,                 1.6424,                 0.0563,                0.14216,                0.02693,                0.00887,                 2.4037,                 5.3934,                  2.195,                 2.1976,                 42.674,                 1.9128,               0.003268,               0.003268,               0.003268
                     71,                  2.162,                 2.5436,                 1.8572,                 1.9976,                 2.9975,                 1.6176,                0.07407,                0.13235,                 0.0388,                0.01204,                  2.386,                  3.632,                  2.172,                 2.1529,                 20.285,                 1.8037,               0.003169,               0.003169,               0.003169
                     72,                 2.1395,                 2.5219,                 1.8454,                 1.9844,                 2.9569,                 1.6219,                  0.074,                0.11765,                0.03262,                0.01087,                 2.4401,                 3.6748,                 2.1699,                 2.1183,                 20.038,                 1.8073,                0.00307,                0.00307,                0.00307
                     73,                 2.1544,                 2.5237,                 1.8441,                 2.0324,                 2.9792,                  1.631,                0.12049,                0.11765,                0.04003,                0.01276,                 2.4943,                 3.4902,                 2.3015,                 2.2621,                 7.4563,                 1.9413,               0.002971,               0.002971,               0.002971
                     74,                 2.1633,                 2.4715,                 1.8231,                 2.0284,                 2.9209,                 1.6206,                0.09032,                0.12411,                0.03243,                0.01064,                 2.4128,                 3.7787,                 2.1774,                 2.1288,                 16.259,                 1.8098,               0.002872,               0.002872,               0.002872
                     75,                 2.1471,                  2.502,                 1.8394,                 1.9845,                 2.9564,                 1.6264,                0.08575,                0.12745,                0.03229,                0.01053,                 2.4374,                 3.5882,                 2.1925,                 2.2435,                 12.241,                 1.8658,               0.002773,               0.002773,               0.002773
                     76,                 2.1151,                 2.4742,                 1.8132,                 1.9653,                 2.9321,                 1.6023,                0.08973,                0.13235,                0.03726,                0.01221,                 2.4014,                  3.995,                 2.1973,                 2.1788,                 13.057,                 1.8539,               0.002674,               0.002674,               0.002674
                     77,                 2.1281,                 2.4697,                 1.8377,                 2.0075,                 2.9225,                 1.6257,                0.08632,                0.13235,                0.03479,                0.01112,                 2.4513,                 3.6261,                 2.2123,                 2.1518,                 15.384,                 1.8386,               0.002575,               0.002575,               0.002575
                     78,                 2.0976,                  2.411,                 1.8171,                 1.9695,                 2.8467,                 1.6059,                0.09082,                0.15196,                0.04114,                0.01401,                 2.4655,                 3.6877,                 2.2295,                 2.1979,                  9.192,                 1.8512,               0.002476,               0.002476,               0.002476
                     79,                 2.1049,                 2.3951,                 1.8062,                 1.9821,                 2.8206,                 1.5981,                0.09771,                0.13725,                0.03897,                0.01249,                 2.4409,                 3.8206,                 2.2008,                 2.1265,                 7.8477,                  1.827,               0.002377,               0.002377,               0.002377
